Flight_Number,Departure_Airport,Arrival_Airport,Distance_km
EK143,SYD,YYZ,7363
EK144,JFK,FRA,11813
EK145,DXB,DXB,5504
EK146,JFK,SYD,1867
EK147,JFK,SYD,10999
EK148,JFK,BOM,11607
EK149,FRA,CDG,13355
EK150,LHR,BOM,13235
EK151,LHR,DXB,6274
EK152,BOM,CDG,1266
EK153,YYZ,LHR,756
EK154,JFK,YYZ,6543
EK155,SIN,JFK,10457
EK156,DEL,SYD,12515
EK157,FRA,JFK,3728
EK158,BOM,YYZ,11879
EK159,DEL,SIN,8568
EK160,BOM,DXB,13080
EK161,SYD,DEL,1951
EK162,YYZ,LHR,5166
EK163,DEL,SYD,10078
EK164,DEL,YYZ,10928
EK165,CDG,DXB,10100
EK166,SYD,FRA,12189
EK167,JFK,LHR,11114
EK168,DXB,DEL,12321
EK169,FRA,DEL,3020
EK170,JFK,SYD,3777
EK171,SYD,JFK,975
EK172,FRA,FRA,9245
EK173,DXB,BOM,389
EK174,LHR,DEL,2971
EK175,JFK,CDG,5062
EK176,SYD,FRA,12612
EK177,BOM,LHR,8824
EK178,SIN,LHR,2176
EK179,JFK,SIN,12228
EK180,YYZ,CDG,11765
EK181,CDG,FRA,6164
EK182,LHR,YYZ,5437
EK183,BOM,DXB,8033
EK184,CDG,DEL,12797
EK185,DEL,DXB,8757
EK186,SYD,JFK,12079
EK187,FRA,DEL,2830
EK188,SIN,SIN,4269
EK189,FRA,LHR,12383
EK190,BOM,YYZ,5225
EK191,SYD,JFK,1028
EK192,YYZ,DEL,13605
EK193,DXB,DEL,1485
EK194,FRA,JFK,5883
EK195,JFK,DXB,9851
EK196,YYZ,SIN,3941
EK197,DEL,SYD,335
EK198,DEL,LHR,1947
EK199,LHR,DEL,13517
EK200,LHR,DEL,10899
EK201,CDG,FRA,4005
EK202,YYZ,SYD,12997
EK203,BOM,BOM,1987
EK204,DEL,LHR,13598
EK205,DEL,SIN,10734
EK206,CDG,FRA,1318
EK207,YYZ,YYZ,4222
EK208,JFK,DXB,11091
EK209,LHR,YYZ,7839
EK210,LHR,DXB,1433
EK211,DXB,BOM,11717
EK212,SYD,CDG,7549
EK213,BOM,JFK,13978
EK214,FRA,SYD,5361
EK215,LHR,FRA,9899
EK216,YYZ,DEL,10056
EK217,BOM,DEL,1323
EK218,DEL,SIN,6678
EK219,DEL,JFK,8079
EK220,FRA,CDG,5369
EK221,SIN,BOM,2451
EK222,DEL,DXB,875
EK223,SIN,DXB,8509
EK224,SIN,SYD,12961
EK225,CDG,FRA,8961
EK226,JFK,LHR,12882
EK227,SYD,DXB,10469
EK228,LHR,SIN,2175
EK229,SYD,YYZ,1700
EK230,SYD,SYD,6835
EK231,CDG,SYD,895
EK232,CDG,BOM,1679
EK233,CDG,SYD,3885
EK234,YYZ,SIN,12314
EK235,DEL,DEL,2866
EK236,SYD,LHR,4759
EK237,CDG,FRA,11290
EK238,SYD,DXB,8736
EK239,YYZ,YYZ,10012
EK240,CDG,LHR,11867
EK241,DEL,LHR,1385
EK242,YYZ,DEL,12171
EK243,SIN,LHR,1185
EK244,BOM,SYD,3586
EK245,CDG,YYZ,12800
EK246,YYZ,LHR,10687
EK247,FRA,CDG,5683
EK248,LHR,SYD,7239
EK249,BOM,FRA,8649
EK250,LHR,JFK,2741
EK251,DEL,SIN,6114
EK252,LHR,JFK,1655
EK253,CDG,DEL,541
EK254,CDG,CDG,6328
EK255,SYD,YYZ,1609
EK256,CDG,SYD,3369
EK257,BOM,SIN,10233
EK258,FRA,YYZ,6019
EK259,LHR,SIN,11696
EK260,JFK,YYZ,9853
EK261,CDG,DEL,2147
EK262,SYD,LHR,6532
EK263,FRA,JFK,12403
EK264,LHR,YYZ,9010
EK265,DXB,CDG,6888
EK266,SYD,BOM,12851
EK267,SIN,DEL,4451
EK268,LHR,DEL,12596
EK269,SYD,JFK,9058
EK270,SYD,BOM,9750
EK271,BOM,CDG,6994
EK272,JFK,DEL,6374
EK273,DEL,FRA,12872
EK274,CDG,LHR,12258
EK275,DEL,SYD,11120
EK276,BOM,BOM,7429
EK277,SYD,BOM,3037
EK278,FRA,FRA,11706
EK279,DEL,BOM,12336
EK280,LHR,SYD,8534
EK281,CDG,CDG,10636
EK282,YYZ,JFK,3652
EK283,DEL,CDG,7464
EK284,CDG,DEL,7226
EK285,CDG,DXB,8734
EK286,BOM,CDG,11789
EK287,FRA,FRA,12218
EK288,BOM,SYD,12977
EK289,DXB,YYZ,5871
EK290,CDG,BOM,2220
EK291,SYD,LHR,6236
EK292,SYD,YYZ,3987
EK293,JFK,BOM,2640
EK294,JFK,BOM,12484
EK295,YYZ,DXB,757
EK296,DXB,SIN,9942
EK297,SIN,DXB,10202
EK298,SIN,DXB,4976
EK299,CDG,CDG,13396
EK300,BOM,JFK,1841
EK301,BOM,SYD,13644
EK302,LHR,JFK,13883
EK303,SIN,DEL,4664
EK304,DEL,SIN,9460
EK305,CDG,CDG,8492
EK306,YYZ,BOM,10605
EK307,DEL,CDG,12058
EK308,DXB,DXB,2380
EK309,YYZ,BOM,13310
EK310,JFK,DEL,9190
EK311,JFK,SIN,438
EK312,DEL,FRA,13996
EK313,DXB,CDG,12805
EK314,DEL,BOM,4368
EK315,BOM,DEL,2885
EK316,DEL,BOM,4812
EK317,FRA,DXB,8388
EK318,LHR,DXB,6258
EK319,DEL,SYD,6352
EK320,YYZ,CDG,7142
EK321,LHR,CDG,8154
EK322,LHR,YYZ,7123
EK323,FRA,CDG,13408
EK324,SIN,LHR,3440
EK325,BOM,CDG,1323
EK326,DEL,SYD,5297
EK327,SIN,DXB,7613
EK328,DXB,JFK,579
EK329,YYZ,YYZ,5299
EK330,LHR,LHR,4592
EK331,BOM,CDG,8501
EK332,BOM,DEL,6369
EK333,JFK,SIN,9071
EK334,SYD,SIN,4972
EK335,YYZ,BOM,13221
EK336,SYD,FRA,1557
EK337,JFK,LHR,4847
EK338,CDG,CDG,10729
EK339,SYD,SIN,4327
EK340,DXB,FRA,8406
EK341,SYD,LHR,2824
EK342,YYZ,BOM,7178
EK343,DEL,BOM,10406
EK344,DXB,YYZ,13785
EK345,SIN,BOM,4837
EK346,SYD,CDG,7842
EK347,BOM,BOM,622
EK348,SIN,DXB,11462
EK349,CDG,DXB,7480
EK350,YYZ,DXB,10886
EK351,JFK,FRA,7107
EK352,DXB,YYZ,10245
EK353,JFK,BOM,568
EK354,CDG,BOM,1139
EK355,DEL,YYZ,9530
EK356,LHR,LHR,1144
EK357,DEL,DXB,10783
EK358,YYZ,YYZ,13492
EK359,SYD,FRA,11758
EK360,FRA,DXB,13438
EK361,YYZ,DXB,11048
EK362,DEL,SIN,3661
EK363,BOM,SYD,8779
EK364,FRA,JFK,4451
EK365,SIN,DEL,9070
EK366,DEL,LHR,11812
EK367,SIN,YYZ,4508
EK368,SYD,SYD,9557
EK369,SIN,JFK,13078
EK370,CDG,BOM,9959
EK371,JFK,LHR,4886
EK372,DEL,FRA,9861
EK373,LHR,BOM,3609
EK374,SYD,YYZ,8116
EK375,DXB,SYD,7525
EK376,CDG,DXB,6180
EK377,DXB,CDG,7989
EK378,CDG,JFK,4630
EK379,FRA,YYZ,9028
EK380,LHR,SYD,4937
EK381,CDG,DEL,5605
EK382,LHR,JFK,4972
EK383,JFK,BOM,13490
EK384,SYD,DEL,13185
EK385,FRA,SYD,4267
EK386,SYD,BOM,923
EK387,CDG,SYD,3933
EK388,FRA,SIN,10822
EK389,LHR,DEL,3969
EK390,BOM,SYD,9605
EK391,DEL,FRA,6859
EK392,SIN,DEL,12766
EK393,FRA,BOM,8279
EK394,CDG,SIN,5057
EK395,FRA,DXB,6504
EK396,JFK,JFK,1158
EK397,BOM,FRA,764
EK398,BOM,SIN,8050
EK399,FRA,BOM,1970
EK400,YYZ,LHR,13712
EK401,YYZ,DXB,2797
EK402,BOM,JFK,3692
EK403,SYD,FRA,3056
EK404,SYD,SYD,13645
EK405,CDG,JFK,7990
EK406,FRA,SYD,12487
EK407,BOM,CDG,12911
EK408,LHR,LHR,8937
EK409,BOM,BOM,4260
EK410,DEL,DEL,819
EK411,LHR,DXB,8474
EK412,CDG,DXB,12376
EK413,LHR,FRA,12401
EK414,DEL,DXB,5355
EK415,SYD,FRA,3363
EK416,FRA,YYZ,5458
EK417,FRA,BOM,5335
EK418,JFK,LHR,9769
EK419,DEL,SYD,5494
EK420,DEL,LHR,5707
EK421,JFK,LHR,721
EK422,FRA,JFK,980
EK423,DXB,FRA,11718
EK424,LHR,DXB,2404
EK425,FRA,YYZ,12842
EK426,LHR,SIN,10428
EK427,JFK,JFK,12853
EK428,CDG,SIN,8592
EK429,SIN,SIN,1397
EK430,DEL,SYD,11185
EK431,BOM,YYZ,2660
EK432,SIN,DEL,7840
EK433,DXB,FRA,9571
EK434,CDG,DEL,10434
EK435,FRA,DXB,3209
EK436,LHR,CDG,7949
EK437,YYZ,SYD,3185
EK438,JFK,SIN,5576
EK439,DEL,CDG,10860
EK440,SYD,SIN,3740
EK441,CDG,CDG,8652
EK442,DXB,BOM,5153
EK443,DEL,SYD,10498
EK444,BOM,FRA,11035
EK445,FRA,JFK,8068
EK446,FRA,SIN,11659
EK447,CDG,DXB,3136
EK448,YYZ,SYD,6589
EK449,BOM,YYZ,13553
EK450,CDG,FRA,9104
EK451,JFK,LHR,6324
EK452,DEL,YYZ,9351
EK453,DXB,DXB,1261
EK454,DXB,BOM,4650
EK455,JFK,LHR,12205
EK456,CDG,LHR,12796
EK457,SIN,YYZ,13719
EK458,LHR,DXB,4069
EK459,DXB,JFK,7236
EK460,SYD,SYD,12716
EK461,YYZ,SIN,3945
EK462,DXB,SIN,9859
EK463,DEL,DXB,5173
EK464,CDG,CDG,10347
EK465,YYZ,YYZ,6479
EK466,DXB,CDG,6827
EK467,DEL,DEL,13834
EK468,YYZ,DXB,2033
EK469,YYZ,SIN,3118
EK470,DEL,BOM,10389
EK471,LHR,SIN,8425
EK472,SIN,CDG,7418
EK473,LHR,FRA,12873
EK474,DXB,FRA,2392
EK475,DEL,BOM,3698
EK476,BOM,YYZ,2587
EK477,CDG,DXB,4450
EK478,BOM,CDG,12062
EK479,BOM,SYD,7525
EK480,CDG,JFK,12086
EK481,SYD,BOM,13408
EK482,LHR,CDG,5171
EK483,SYD,CDG,790
EK484,YYZ,LHR,4272
EK485,SYD,CDG,2336
EK486,YYZ,JFK,9321
EK487,SIN,DXB,6732
EK488,SIN,SIN,8004
EK489,SYD,FRA,3077
EK490,SYD,CDG,3552
EK491,DEL,DEL,11363
EK492,CDG,FRA,7895
EK493,CDG,YYZ,4712
EK494,BOM,JFK,12832
EK495,FRA,DEL,3656
EK496,SYD,SYD,5831
EK497,FRA,JFK,9048
EK498,YYZ,JFK,1723
EK499,FRA,BOM,6146
EK500,FRA,DXB,8877
EK501,CDG,FRA,13851
EK502,YYZ,CDG,12314
EK503,LHR,DXB,13812
EK504,LHR,SIN,9731
EK505,LHR,CDG,4815
EK506,CDG,YYZ,1774
EK507,SYD,BOM,576
EK508,CDG,FRA,12935
EK509,SIN,DXB,9100
EK510,DXB,DEL,5021
EK511,YYZ,BOM,12342
EK512,YYZ,YYZ,7239
EK513,BOM,CDG,6141
EK514,BOM,JFK,13689
EK515,CDG,SIN,8835
EK516,DXB,DXB,8829
EK517,YYZ,BOM,13031
EK518,CDG,DEL,10710
EK519,FRA,SYD,11588
EK520,DEL,CDG,968
EK521,SYD,BOM,13297
EK522,LHR,CDG,1634
EK523,DXB,SIN,11931
EK524,LHR,CDG,6505
EK525,BOM,DEL,11247
EK526,JFK,SYD,9133
EK527,JFK,YYZ,9474
EK528,JFK,SYD,5027
EK529,SIN,CDG,1554
EK530,CDG,CDG,1563
EK531,JFK,CDG,9276
EK532,LHR,YYZ,12110
EK533,YYZ,YYZ,2606
EK534,DEL,DXB,10903
EK535,SIN,SYD,6943
EK536,BOM,JFK,11128
EK537,FRA,SYD,2974
EK538,SIN,YYZ,4942
EK539,FRA,SIN,3911
EK540,SYD,SYD,10048
EK541,BOM,YYZ,952
EK542,YYZ,BOM,9305
EK543,YYZ,FRA,6502
EK544,LHR,DEL,6025
EK545,CDG,BOM,10980
EK546,SYD,CDG,9329
EK547,BOM,BOM,11299
EK548,JFK,SIN,13819
EK549,JFK,BOM,5717
EK550,SYD,FRA,1311
EK551,YYZ,YYZ,13043
EK552,FRA,SYD,306
EK553,LHR,YYZ,5847
EK554,LHR,FRA,3346
EK555,JFK,FRA,635
EK556,CDG,SYD,1117
EK557,DEL,YYZ,6375
EK558,FRA,SYD,3287
EK559,JFK,BOM,7996
EK560,DEL,LHR,1015
EK561,DEL,SYD,1841
EK562,DXB,LHR,10531
EK563,FRA,DEL,9812
EK564,JFK,CDG,3869
EK565,LHR,DXB,7752
EK566,SYD,YYZ,11508
EK567,FRA,CDG,11815
EK568,LHR,CDG,5507
EK569,JFK,CDG,8158
EK570,LHR,JFK,9805
EK571,LHR,DXB,9530
EK572,FRA,JFK,7309
EK573,YYZ,LHR,7950
EK574,DXB,CDG,1123
EK575,DEL,SIN,6079
EK576,LHR,YYZ,2321
EK577,DEL,CDG,12863
EK578,CDG,JFK,10450
EK579,LHR,YYZ,4473
EK580,DXB,CDG,13894
EK581,JFK,SYD,6534
EK582,LHR,LHR,2024
EK583,DEL,LHR,11963
EK584,SYD,SYD,12815
EK585,JFK,CDG,13877
EK586,DXB,DEL,6632
EK587,BOM,BOM,2795
EK588,SYD,YYZ,13119
EK589,DEL,SIN,10607
EK590,FRA,SYD,9778
EK591,DXB,FRA,12051
EK592,CDG,JFK,666
EK593,SYD,DEL,3783
EK594,SIN,LHR,808
EK595,FRA,SYD,8777
EK596,SIN,CDG,5004
EK597,YYZ,FRA,5005
EK598,SIN,SIN,12422
EK599,LHR,BOM,12861
EK600,SYD,DXB,8996
EK601,FRA,SYD,12021
EK602,JFK,FRA,13462
EK603,YYZ,FRA,9073
EK604,FRA,DEL,5063
EK605,DEL,DEL,6549
EK606,BOM,BOM,10684
EK607,BOM,JFK,2118
EK608,JFK,LHR,688
EK609,LHR,YYZ,8053
EK610,DEL,LHR,10745
EK611,YYZ,JFK,7637
EK612,YYZ,CDG,13145
EK613,YYZ,FRA,9810
EK614,DXB,DEL,1425
EK615,FRA,YYZ,11832
EK616,LHR,DEL,11684
EK617,FRA,BOM,10414
EK618,JFK,DEL,6900
EK619,DEL,SIN,13658
EK620,DXB,YYZ,776
EK621,BOM,SYD,12700
EK622,SYD,LHR,13706
EK623,DXB,JFK,8951
EK624,JFK,BOM,11714
EK625,JFK,CDG,10694
EK626,SYD,SIN,5838
EK627,JFK,DXB,5623
EK628,DEL,BOM,12377
EK629,CDG,LHR,13350
EK630,YYZ,YYZ,9137
EK631,LHR,YYZ,13948
EK632,CDG,FRA,6819
EK633,YYZ,BOM,5461
EK634,BOM,DEL,8631
EK635,DEL,SYD,8309
EK636,SIN,BOM,3343
EK637,DEL,JFK,3168
EK638,DEL,DXB,6876
EK639,DEL,CDG,2565
EK640,SYD,CDG,9611
EK641,LHR,JFK,7391
EK642,FRA,SYD,4562
EK643,DEL,DEL,13959
EK644,FRA,SYD,9236
EK645,FRA,DXB,12631
EK646,DEL,CDG,1624
EK647,BOM,FRA,4286
EK648,SIN,CDG,5731
EK649,CDG,BOM,1553
EK650,FRA,FRA,3963
EK651,LHR,JFK,12360
EK652,DEL,DXB,8073
EK653,JFK,LHR,10330
EK654,BOM,SIN,10956
EK655,BOM,JFK,8137
EK656,BOM,SYD,4654
EK657,CDG,CDG,6387
EK658,DEL,FRA,5040
EK659,LHR,SIN,352
EK660,YYZ,CDG,11153
EK661,DXB,YYZ,12984
EK662,SYD,DEL,2657
EK663,BOM,YYZ,11780
EK664,DEL,SIN,8658
EK665,BOM,JFK,6106
EK666,JFK,SIN,3019
EK667,YYZ,BOM,8173
EK668,FRA,SIN,4149
EK669,CDG,FRA,2002
EK670,DEL,LHR,1203
EK671,CDG,SIN,9661
EK672,DEL,JFK,2426
EK673,JFK,DEL,5328
EK674,SIN,FRA,1639
EK675,LHR,SYD,13198
EK676,CDG,SYD,11478
EK677,SYD,DXB,4181
EK678,DXB,DXB,6691
EK679,SIN,BOM,11146
EK680,SYD,YYZ,2756
EK681,DXB,DXB,13494
EK682,SYD,DXB,12468
EK683,SYD,BOM,4110
EK684,SIN,YYZ,10795
EK685,BOM,SIN,9043
EK686,JFK,LHR,1256
EK687,DEL,YYZ,3849
EK688,CDG,LHR,2328
EK689,SYD,FRA,11857
EK690,YYZ,SIN,10018
EK691,DXB,YYZ,9492
EK692,DXB,SIN,5124
EK693,YYZ,BOM,4895
EK694,BOM,FRA,7784
EK695,DEL,SIN,9978
EK696,JFK,SYD,7466
EK697,SIN,BOM,1047
EK698,LHR,DEL,11435
EK699,SYD,JFK,8790
EK700,DEL,DXB,5875
EK701,SYD,DEL,9101
EK702,YYZ,CDG,5866
EK703,LHR,YYZ,4614
EK704,SIN,SIN,8347
EK705,FRA,BOM,10110
EK706,JFK,CDG,11693
EK707,LHR,SIN,11933
EK708,YYZ,DXB,5474
EK709,DXB,SIN,8548
EK710,FRA,SIN,1989
EK711,DEL,JFK,2314
EK712,LHR,FRA,7501
EK713,SIN,FRA,7772
EK714,SIN,CDG,7785
EK715,FRA,BOM,9384
EK716,YYZ,YYZ,13221
EK717,CDG,YYZ,13552
EK718,LHR,YYZ,1495
EK719,DEL,DEL,10284
EK720,DEL,DEL,12577
EK721,LHR,SYD,1995
EK722,CDG,DEL,6408
EK723,YYZ,DXB,2772
EK724,JFK,JFK,6354
EK725,JFK,SYD,11738
EK726,YYZ,DXB,8970
EK727,JFK,SYD,722
EK728,FRA,DXB,13941
EK729,SIN,DXB,12219
EK730,YYZ,SIN,1502
EK731,CDG,LHR,8430
EK732,BOM,SYD,12149
EK733,DXB,SYD,1075
EK734,FRA,JFK,9999
EK735,DXB,DEL,9036
EK736,YYZ,CDG,10531
EK737,FRA,CDG,2015
EK738,CDG,BOM,12495
EK739,JFK,CDG,1975
EK740,CDG,SYD,10105
EK741,CDG,JFK,6587
EK742,BOM,LHR,7583
EK743,JFK,FRA,1883
EK744,CDG,LHR,1606
EK745,YYZ,CDG,1973
EK746,YYZ,DXB,1689
EK747,JFK,BOM,13299
EK748,DEL,JFK,8846
EK749,DEL,LHR,6208
EK750,DXB,SIN,13146
EK751,JFK,CDG,13971
EK752,YYZ,BOM,10768
EK753,DEL,DEL,1405
EK754,BOM,SIN,6247
EK755,FRA,SYD,1541
EK756,JFK,DXB,5760
EK757,SIN,JFK,11237
EK758,SIN,SIN,5384
EK759,SIN,BOM,9931
EK760,SIN,JFK,6542
EK761,SYD,DEL,12687
EK762,FRA,YYZ,5598
EK763,JFK,BOM,11873
EK764,CDG,SYD,11345
EK765,SYD,SYD,6155
EK766,LHR,BOM,5687
EK767,FRA,BOM,1241
EK768,FRA,LHR,6196
EK769,JFK,FRA,8149
EK770,CDG,CDG,8925
EK771,FRA,LHR,13617
EK772,DXB,BOM,6226
EK773,FRA,BOM,13356
EK774,DEL,SYD,6001
EK775,JFK,SIN,9635
EK776,SIN,SYD,13398
EK777,FRA,DXB,12222
EK778,BOM,JFK,9392
EK779,DEL,YYZ,6350
EK780,SYD,CDG,4908
EK781,BOM,FRA,13549
EK782,SYD,SYD,4119
EK783,YYZ,DXB,11486
EK784,FRA,FRA,7025
EK785,YYZ,CDG,5680
EK786,JFK,SIN,12094
EK787,YYZ,SYD,1441
EK788,SYD,SIN,10864
EK789,LHR,JFK,4176
EK790,BOM,LHR,4564
EK791,LHR,SIN,5235
EK792,SYD,LHR,12332
EK793,YYZ,DXB,8954
EK794,FRA,SIN,13016
EK795,DXB,CDG,7218
EK796,DXB,JFK,572
EK797,DEL,DXB,2710
EK798,LHR,FRA,6672
EK799,SIN,BOM,11723
EK800,SYD,SIN,3916
EK801,SIN,BOM,4525
EK802,LHR,JFK,6960
EK803,SIN,LHR,2321
EK804,BOM,CDG,1326
EK805,SIN,LHR,8341
EK806,DXB,SIN,12853
EK807,DEL,CDG,11046
EK808,BOM,YYZ,6000
EK809,FRA,DEL,3034
EK810,BOM,BOM,5882
EK811,DEL,BOM,13907
EK812,DXB,SYD,10006
EK813,CDG,DEL,4447
EK814,DEL,LHR,1338
EK815,YYZ,LHR,7494
EK816,DEL,CDG,9243
EK817,BOM,JFK,8532
EK818,DXB,YYZ,9664
EK819,SIN,JFK,11717
EK820,LHR,JFK,3567
EK821,LHR,JFK,1864
EK822,DXB,YYZ,10839
EK823,CDG,FRA,1280
EK824,BOM,CDG,12380
EK825,CDG,SYD,8511
EK826,SIN,SIN,7042
EK827,FRA,LHR,1499
EK828,SYD,CDG,9328
EK829,YYZ,SIN,1247
EK830,DXB,JFK,12990
EK831,LHR,FRA,13334
EK832,LHR,BOM,3978
EK833,DEL,SIN,9608
EK834,DEL,CDG,8464
EK835,SIN,DEL,9792
EK836,JFK,FRA,6608
EK837,DEL,LHR,13482
EK838,LHR,DEL,3357
EK839,SYD,LHR,10034
EK840,FRA,SYD,760
EK841,CDG,DXB,3389
EK842,JFK,FRA,676
EK843,FRA,DXB,11217
EK844,FRA,BOM,8692
EK845,CDG,SIN,1294
EK846,FRA,FRA,8897
EK847,BOM,JFK,4667
EK848,YYZ,BOM,944
EK849,JFK,SYD,2609
EK850,YYZ,DXB,4078
EK851,LHR,JFK,4122
EK852,LHR,LHR,6171
EK853,DEL,BOM,3472
EK854,CDG,DEL,11226
EK855,LHR,FRA,9015
EK856,DEL,JFK,1630
EK857,JFK,LHR,8555
EK858,JFK,YYZ,9507
EK859,SYD,DXB,12582
EK860,LHR,LHR,3354
EK861,YYZ,SIN,1818
EK862,FRA,CDG,10065
EK863,BOM,SIN,799
EK864,DEL,FRA,10059
EK865,DEL,CDG,7943
EK866,LHR,BOM,10620
EK867,LHR,SYD,4822
EK868,DEL,CDG,8299
EK869,SYD,JFK,5451
EK870,YYZ,FRA,13702
EK871,LHR,BOM,4962
EK872,SYD,DEL,2222
EK873,SIN,BOM,2427
EK874,JFK,SIN,5657
EK875,YYZ,CDG,9794
EK876,LHR,YYZ,5413
EK877,JFK,LHR,5400
EK878,CDG,DEL,3130
EK879,FRA,LHR,2576
EK880,BOM,DEL,8920
EK881,BOM,JFK,5047
EK882,CDG,CDG,6795
EK883,JFK,FRA,6824
EK884,BOM,YYZ,1293
EK885,FRA,FRA,5879
EK886,SYD,YYZ,6720
EK887,DXB,BOM,11542
EK888,YYZ,JFK,12799
EK889,LHR,FRA,7473
EK890,BOM,LHR,5832
EK891,YYZ,FRA,2500
EK892,YYZ,BOM,4618
EK893,LHR,CDG,5462
EK894,DXB,LHR,506
EK895,BOM,JFK,5735
EK896,DXB,CDG,10950
EK897,FRA,SYD,12870
EK898,DEL,DXB,6534
EK899,LHR,BOM,6817
EK900,DXB,CDG,7717
EK901,DEL,DXB,2574
EK902,SIN,SIN,3832
EK903,LHR,BOM,1877
EK904,SYD,DEL,6801
EK905,LHR,SIN,4543
EK906,JFK,DEL,4752
EK907,SYD,SYD,12221
EK908,LHR,SYD,6718
EK909,SIN,FRA,5336
EK910,BOM,FRA,8536
EK911,LHR,FRA,11091
EK912,BOM,BOM,3354
EK913,SIN,LHR,1363
EK914,LHR,DXB,12798
EK915,FRA,JFK,8085
EK916,SYD,CDG,5012
EK917,LHR,BOM,12491
EK918,DEL,CDG,4739
EK919,BOM,DXB,345
EK920,SIN,BOM,7286
