Booking_ID,Passenger_ID,Flight_Number,Departure_Time,Class,Ticket_Price,Flight_Status
200139,27914,EK381,4/29/2024 19:46,Business,509.05,Cancelled
200140,54492,EK540,5/4/2023 17:03,First,3419.63,On Time
200141,10539,EK645,11/30/2023 21:33,Economy,1279.61,Delayed
200142,6429,EK294,6/27/2024 17:30,Business,2186.54,On Time
200143,12160,EK507,4/19/2023 17:03,Economy,4598.57,On Time
200144,78208,EK923,9/12/2023 6:17,Business,2281.79,Delayed
200145,46017,EK450,2/13/2023 3:32,First,4721.66,Delayed
200146,2416,EK799,4/8/2024 17:01,Economy,374.81,On Time
200147,51108,EK258,3/6/2023 14:20,Economy,5938.74,On Time
200148,74210,EK029,9/19/2024 16:38,Business,5833.71,On Time
200149,64404,EK009,6/8/2024 6:44,Economy,1456.78,Delayed
200150,74609,EK837,10/11/2023 14:32,Economy,963.77,On Time
200151,5406,EK680,6/30/2024 15:32,Economy,613.61,Delayed
200152,18044,EK132,9/11/2023 22:33,Economy,310.44,Cancelled
200153,78699,EK642,9/23/2023 17:57,First,5243.09,On Time
200154,71530,EK072,7/27/2023 14:08,First,347.93,Delayed
200155,70527,EK790,3/2/2024 3:25,Economy,2370.46,On Time
200156,75237,EK256,3/28/2024 10:04,Economy,4943.13,Cancelled
200157,18906,EK823,11/18/2024 7:27,First,5078.96,Delayed
200158,71473,EK306,3/16/2023 6:42,Economy,4145.62,Cancelled
200159,51383,EK765,11/7/2023 3:57,Economy,2583.56,Delayed
200160,18525,EK961,6/8/2023 22:41,First,2677.69,On Time
200161,32665,EK494,11/7/2024 11:09,Business,4162.57,Cancelled
200162,77602,EK059,9/17/2023 4:29,Economy,1468.97,Cancelled
200163,63278,EK574,8/13/2023 23:06,First,483.61,Cancelled
200164,32981,EK761,2/12/2024 15:10,First,2674.79,Delayed
200165,76202,EK673,11/14/2024 7:10,Economy,5361.87,Cancelled
200166,41753,EK395,12/24/2024 13:32,First,901,Delayed
200167,63246,EK555,2/18/2024 10:26,Business,4914.13,Delayed
200168,46898,EK227,7/20/2023 11:20,First,236.35,On Time
200169,51545,EK704,4/5/2023 23:23,Economy,3831.99,Delayed
200170,11922,EK063,1/20/2023 10:35,Business,3612.84,Delayed
200171,40417,EK156,4/14/2024 14:45,First,4261.64,On Time
200172,52167,EK505,1/19/2023 12:21,Business,1265.56,Delayed
200173,61354,EK231,6/13/2024 19:18,Business,1350.59,On Time
200174,51449,EK456,6/8/2024 2:07,Economy,5822.93,Delayed
200175,22041,EK969,8/23/2023 3:05,Economy,5210.24,Cancelled
200176,78619,EK190,9/29/2023 8:02,Business,4422.15,Delayed
200177,74838,EK937,7/5/2023 8:48,Economy,5860.3,Cancelled
200178,6278,EK247,5/13/2023 13:54,Business,3165.91,On Time
200179,19455,EK275,11/23/2024 8:25,First,1484.46,Delayed
200180,21280,EK799,6/2/2023 17:58,First,3507.35,On Time
200181,61280,EK987,6/11/2024 18:31,Business,3054.38,Cancelled
200182,60690,EK995,12/18/2024 10:05,First,3973.75,Cancelled
200183,29660,EK513,10/13/2023 1:51,Business,1494.15,Cancelled
200184,71931,EK163,12/5/2024 5:27,Business,1011.46,Delayed
200185,60623,EK679,3/16/2023 8:01,Economy,5094.35,On Time
200186,75232,EK317,10/11/2024 2:51,Business,5459.67,On Time
200187,34141,EK419,9/24/2023 2:38,Business,2231.32,On Time
200188,65188,EK211,8/16/2023 2:16,Business,4188.01,Delayed
200189,16510,EK952,5/5/2023 14:00,Business,5052.72,Cancelled
200190,73590,EK279,12/14/2023 17:26,Business,2804.15,Cancelled
200191,10963,EK606,10/2/2023 19:08,Business,2591.35,Delayed
200192,39959,EK861,2/14/2023 16:45,Business,4294.47,Cancelled
200193,34770,EK412,9/2/2023 3:10,First,5813.42,Cancelled
200194,63586,EK059,9/26/2023 1:11,First,5541.23,On Time
200195,50334,EK024,7/26/2023 9:40,Economy,1937.15,Cancelled
200196,65819,EK450,11/9/2023 16:48,First,2450.26,Delayed
200197,12589,EK535,7/30/2023 9:28,Economy,1182.89,Cancelled
200198,76355,EK137,5/27/2024 21:11,First,3350.9,Cancelled
200199,14364,EK198,10/5/2023 11:51,First,543.42,Cancelled
200200,58292,EK886,1/19/2023 8:02,Business,756.58,On Time
200201,76915,EK333,1/16/2023 0:46,Business,3542.23,Cancelled
200202,33097,EK834,6/1/2024 17:12,First,873.83,On Time
200203,45622,EK654,6/10/2024 15:15,Business,1470.37,On Time
200204,41346,EK030,4/2/2024 3:42,Business,1991.56,Delayed
200205,36940,EK882,10/27/2024 13:42,Economy,1485.6,Cancelled
200206,64399,EK319,5/21/2024 17:53,Business,5174.4,Cancelled
200207,11901,EK224,2/7/2024 16:19,Economy,3781.19,Delayed
200208,49912,EK339,12/5/2024 6:14,Economy,4474.91,Cancelled
200209,73777,EK583,12/17/2023 6:53,Economy,4703.78,Delayed
200210,11330,EK001,12/24/2024 23:40,Business,3173.23,Delayed
200211,59089,EK134,5/24/2023 12:22,Business,1901.85,On Time
200212,9931,EK709,2/25/2023 4:00,Business,372.14,Delayed
200213,67873,EK225,3/14/2023 20:47,First,2617.1,Delayed
200214,9428,EK516,9/19/2023 13:10,Business,5230.66,Delayed
200215,19693,EK988,2/26/2023 2:42,Economy,4366.82,Delayed
200216,4045,EK909,1/26/2024 16:42,Economy,2449.98,Cancelled
200217,72712,EK066,10/16/2023 19:15,Business,1609.66,Delayed
200218,78777,EK571,12/10/2024 9:02,First,4649.31,On Time
200219,65545,EK683,4/15/2024 5:10,Business,4251.64,On Time
200220,10387,EK779,10/3/2023 14:00,Business,1152.25,Delayed
200221,6067,EK082,9/27/2023 11:21,Economy,3218.21,Cancelled
200222,19440,EK778,7/14/2024 10:15,First,2369.83,Delayed
200223,57813,EK323,2/5/2023 9:13,Business,4453.08,Delayed
200224,28199,EK104,1/1/2024 5:00,Business,1592.41,Delayed
200225,50817,EK039,12/10/2023 12:05,Economy,1341.19,Cancelled
200226,26025,EK134,5/1/2024 8:32,Business,3577.15,Cancelled
200227,42021,EK154,11/2/2024 6:15,Economy,3664.15,On Time
200228,58639,EK075,5/31/2024 0:05,Economy,4994.75,Cancelled
200229,71915,EK625,9/28/2023 2:09,Business,2968.82,On Time
200230,66145,EK549,2/14/2024 18:02,Business,1141.6,Delayed
200231,64636,EK805,2/8/2024 0:19,Economy,1260.5,Delayed
200232,77461,EK311,11/8/2023 20:14,Business,684.63,Delayed
200233,5606,EK880,3/28/2023 18:33,Economy,5350.53,Cancelled
200234,42361,EK098,6/8/2023 21:57,Business,955.67,Delayed
200235,42312,EK523,9/2/2024 12:48,First,2983.16,Delayed
200236,63987,EK076,11/30/2023 23:31,Economy,4932.36,On Time
200237,22565,EK743,6/3/2023 9:46,Economy,4518.05,Delayed
200238,5546,EK035,9/25/2024 20:09,First,4789.97,On Time
200239,58432,EK677,2/14/2023 22:57,Economy,1989.79,Cancelled
200240,13635,EK578,6/9/2024 20:27,First,5788.62,On Time
200241,62920,EK335,12/18/2024 16:08,Business,1023.8,On Time
200242,33941,EK239,6/20/2024 16:36,Economy,2324.02,Delayed
200243,17650,EK393,1/17/2023 21:37,Business,4580.81,Delayed
200244,70972,EK438,12/29/2024 21:44,Economy,3290.44,On Time
200245,52053,EK334,10/20/2024 7:05,Economy,4391.56,On Time
200246,52762,EK611,2/1/2023 1:08,Economy,280.56,On Time
200247,10857,EK162,10/14/2024 11:06,Economy,3281.16,Cancelled
200248,25559,EK547,1/21/2024 14:35,Business,3276.35,Delayed
200249,4412,EK098,2/21/2023 20:01,First,337.6,Cancelled
200250,13051,EK951,10/3/2024 17:43,Business,3122.67,Cancelled
200251,60402,EK766,9/8/2023 15:16,Business,4206.99,On Time
200252,3925,EK778,1/4/2023 14:51,Business,4070.17,Delayed
200253,5695,EK906,3/13/2023 23:59,Economy,4080.67,On Time
200254,51926,EK988,5/30/2024 17:05,First,441.63,Cancelled
200255,6296,EK072,11/6/2024 16:04,First,2553.39,On Time
200256,25306,EK376,4/30/2024 8:51,Economy,2657.05,Delayed
200257,28478,EK426,3/18/2023 8:15,Economy,5743.36,Delayed
200258,55286,EK271,7/30/2023 7:47,Business,4405.66,On Time
200259,23093,EK135,10/27/2024 14:31,First,5340.88,On Time
200260,14915,EK636,1/27/2024 2:30,Economy,1615.48,Cancelled
200261,37268,EK699,12/1/2024 9:49,Economy,4153.93,Cancelled
200262,60015,EK711,2/17/2023 19:40,First,4549.01,Cancelled
200263,4497,EK856,10/20/2024 6:04,Business,669.28,On Time
200264,15142,EK804,9/6/2024 4:21,Business,4472.85,Cancelled
200265,66444,EK197,9/18/2023 20:47,First,764.78,On Time
200266,15001,EK664,12/10/2024 9:39,Business,477.67,Cancelled
200267,9345,EK520,8/4/2024 4:00,Economy,2166.59,Delayed
200268,18430,EK724,5/8/2024 1:31,First,3653.97,Cancelled
200269,47570,EK261,10/3/2023 21:06,Economy,1631.03,Delayed
200270,58469,EK710,12/9/2024 6:43,Business,1417.51,Cancelled
200271,41043,EK229,5/16/2024 9:45,First,4281.14,On Time
200272,29481,EK850,6/12/2024 9:29,Economy,1954.26,On Time
200273,48658,EK793,4/22/2024 14:49,Economy,4457.65,Cancelled
200274,43876,EK619,5/2/2023 17:12,First,1147.97,Cancelled
200275,35953,EK473,11/16/2023 2:59,Business,2982.73,On Time
200276,57818,EK246,4/29/2024 0:18,First,3123.28,Cancelled
200277,73081,EK454,4/14/2024 2:52,Economy,3628.83,Cancelled
200278,52347,EK226,6/2/2024 14:17,Economy,2235.11,On Time
200279,14215,EK509,2/1/2024 6:58,Economy,4796.42,On Time
200280,38479,EK479,8/4/2023 2:37,Economy,2676.86,On Time
200281,58587,EK205,4/3/2023 4:47,Economy,1672.99,On Time
200282,16772,EK373,6/20/2024 8:23,Business,4071.81,On Time
200283,45196,EK803,5/16/2023 19:52,Economy,522.2,Cancelled
200284,2144,EK751,10/8/2024 16:17,Business,4976.1,On Time
200285,19682,EK909,4/26/2023 22:23,Business,3259.94,Cancelled
200286,15144,EK833,8/25/2023 15:57,First,4303.52,Cancelled
200287,45534,EK117,5/12/2024 12:01,Business,3025.73,On Time
200288,13784,EK240,6/12/2023 0:31,First,5828.18,On Time
200289,20162,EK251,11/28/2024 14:25,First,5521.11,On Time
200290,75031,EK603,11/6/2023 23:09,Business,4869.02,On Time
200291,65860,EK556,3/2/2024 11:24,Economy,2724.92,Cancelled
200292,78684,EK634,11/20/2023 3:53,Economy,2623.29,Cancelled
200293,8798,EK926,12/6/2023 0:20,Business,255.42,Delayed
200294,5416,EK229,12/13/2023 12:07,Business,5307.69,Cancelled
200295,44877,EK899,7/20/2023 22:00,Economy,1995.12,Delayed
200296,17825,EK697,10/24/2023 8:23,Business,3461.08,Cancelled
200297,49646,EK946,3/8/2023 12:24,First,3221.34,On Time
200298,29926,EK783,8/26/2024 2:23,Economy,4417.56,Cancelled
200299,51751,EK487,3/14/2024 8:54,First,2378.62,Cancelled
200300,5962,EK677,2/19/2023 8:06,First,1432.37,Cancelled
200301,51547,EK954,2/22/2023 21:18,First,486.36,On Time
200302,57843,EK115,10/12/2024 4:15,Economy,5020.99,On Time
200303,28518,EK007,9/30/2023 13:32,Business,2530.71,Delayed
200304,5062,EK360,11/20/2023 6:49,Economy,875.26,Delayed
200305,52334,EK041,1/18/2024 13:56,Business,5504.09,Delayed
200306,1442,EK126,1/30/2023 20:25,Economy,2235.11,Cancelled
200307,63498,EK957,7/21/2024 17:13,Business,3761.59,Delayed
200308,68807,EK475,3/24/2023 1:59,Economy,5884.19,Cancelled
200309,25762,EK162,2/25/2024 14:39,Business,5563,Cancelled
200310,20312,EK097,5/22/2023 20:55,Business,3378.89,Delayed
200311,73271,EK213,10/21/2023 15:03,First,4420.71,Delayed
200312,31474,EK988,7/17/2024 4:10,Business,1367.69,On Time
200313,70251,EK329,4/28/2024 13:21,First,1623.27,On Time
200314,62491,EK705,10/16/2023 9:16,Business,2537.47,Delayed
200315,34900,EK104,10/30/2024 8:25,Economy,5815.98,On Time
200316,64102,EK340,11/2/2024 7:19,First,249.66,On Time
200317,60600,EK073,5/9/2024 17:42,Business,4984.88,On Time
200318,71226,EK481,2/8/2024 3:10,Business,2104.33,Delayed
200319,71088,EK357,10/20/2024 5:04,Business,4451.8,Delayed
200320,44875,EK693,8/1/2023 16:57,Economy,4875.48,On Time
200321,68817,EK761,5/24/2024 17:14,Business,818.49,Cancelled
200322,34173,EK191,4/8/2024 10:48,Economy,826.96,Cancelled
200323,47690,EK120,4/5/2024 13:08,Business,4023.6,Delayed
200324,30911,EK632,7/14/2024 6:15,First,4038.8,Delayed
200325,21914,EK074,4/3/2023 5:21,First,1713.84,On Time
200326,60683,EK679,7/23/2024 2:20,First,2963.75,Cancelled
200327,18591,EK531,9/2/2023 11:16,First,253.94,Delayed
200328,80657,EK089,8/6/2024 6:56,Economy,5811.28,Delayed
200329,72924,EK962,1/21/2023 23:55,First,5179.47,Delayed
200330,66762,EK551,2/27/2024 12:26,Business,1562.91,On Time
200331,49915,EK503,6/20/2024 6:24,Economy,2362.01,On Time
200332,42156,EK396,10/4/2023 10:48,First,5099.44,Delayed
200333,35925,EK201,3/5/2023 15:17,Business,5603.32,Cancelled
200334,14665,EK202,8/11/2024 11:08,First,1528.26,Delayed
200335,62799,EK773,12/4/2024 16:33,Economy,1387.89,On Time
200336,42928,EK293,10/6/2024 6:05,First,2430.82,Cancelled
200337,67216,EK326,10/5/2023 7:24,Business,1874.56,On Time
200338,72280,EK129,2/14/2024 20:28,Economy,3620.44,On Time
200339,18920,EK548,3/18/2024 9:54,First,889.42,On Time
200340,50166,EK572,1/23/2023 4:02,Economy,4706.71,Delayed
200341,59914,EK382,3/11/2024 22:48,Economy,5836.44,On Time
200342,25521,EK582,4/29/2024 18:31,Business,4697.35,Cancelled
200343,60858,EK943,1/1/2023 2:25,Business,4021.04,Cancelled
200344,75879,EK693,6/24/2024 14:28,Economy,5191.1,On Time
200345,53314,EK836,9/12/2023 3:14,First,1160.56,Delayed
200346,5656,EK205,6/8/2023 4:33,Economy,5182.3,Cancelled
200347,76015,EK167,11/29/2024 3:52,Business,1325.35,Delayed
200348,5435,EK065,12/18/2024 20:54,Economy,4450.81,Cancelled
200349,61631,EK020,4/13/2024 2:35,Economy,3495.03,On Time
200350,73447,EK930,2/10/2023 0:50,Business,4697.88,Delayed
200351,30426,EK409,5/9/2023 7:36,Business,5724.05,Cancelled
200352,32677,EK939,2/8/2023 20:45,Business,221.43,On Time
200353,56684,EK685,11/8/2023 4:40,Economy,201.33,Cancelled
200354,10206,EK740,9/15/2023 16:40,Business,512.69,Delayed
200355,17878,EK816,3/23/2024 22:48,First,3431.66,Cancelled
200356,63938,EK381,4/25/2023 3:04,First,1595.81,Delayed
200357,48616,EK709,11/4/2023 16:37,Business,2344.48,Cancelled
200358,80073,EK090,7/16/2023 12:16,First,241.63,Cancelled
200359,8741,EK662,8/17/2023 19:00,First,2876.92,Delayed
200360,14214,EK545,1/11/2023 17:19,First,693.14,On Time
200361,66037,EK329,4/16/2024 8:20,First,1399.09,On Time
200362,10968,EK136,10/22/2024 7:30,Business,1568.58,On Time
200363,11878,EK393,6/22/2024 7:35,Economy,3815.27,Cancelled
200364,41956,EK824,9/10/2023 0:26,Economy,4248.61,Cancelled
200365,73824,EK359,12/22/2024 20:19,Economy,2518.83,Delayed
200366,25879,EK530,2/26/2023 0:12,First,5758.31,Cancelled
200367,40703,EK976,5/25/2024 21:41,First,1981.36,Cancelled
200368,42411,EK242,3/6/2024 2:16,Business,3695.93,Cancelled
200369,3143,EK555,8/22/2023 21:27,First,242.28,Delayed
200370,42692,EK396,1/15/2024 7:31,Business,2277.7,Delayed
200371,43595,EK601,2/4/2023 22:21,Business,822.88,Delayed
200372,45776,EK185,3/6/2024 11:43,Economy,2666.64,On Time
200373,76142,EK422,2/10/2024 6:00,Economy,5672.31,Delayed
200374,67646,EK935,10/27/2023 23:54,Economy,2889.34,On Time
200375,55669,EK140,5/31/2024 2:13,Economy,1534.39,Delayed
200376,33140,EK250,5/22/2024 6:19,Business,3479.06,On Time
200377,65658,EK980,7/18/2023 7:29,First,4407.54,Delayed
200378,53982,EK947,8/15/2023 8:48,First,4625.64,Delayed
200379,53228,EK182,10/30/2023 3:39,Business,4386.04,Delayed
200380,17572,EK450,5/22/2024 19:11,Economy,2294.43,On Time
200381,75589,EK057,8/17/2023 15:26,Economy,2454.22,On Time
200382,21185,EK145,11/12/2024 1:38,Economy,3831.34,On Time
200383,18101,EK577,5/30/2023 12:03,First,3715.72,Cancelled
200384,53724,EK260,8/7/2023 0:38,First,5739.43,Cancelled
200385,80907,EK278,5/26/2023 13:03,Economy,5935.51,Cancelled
200386,41452,EK082,12/27/2024 1:11,Economy,1997.05,On Time
200387,27695,EK550,2/7/2024 14:57,Business,191.93,On Time
200388,44683,EK453,12/30/2024 10:46,First,1869.76,On Time
200389,43553,EK762,4/26/2023 2:59,Business,4953.41,Delayed
200390,16739,EK633,6/19/2023 10:12,Business,4251.04,On Time
200391,7063,EK577,7/9/2023 20:59,First,4427.25,Delayed
200392,23417,EK294,6/21/2024 23:29,Business,5599.6,On Time
200393,36202,EK802,2/2/2023 9:42,Business,2090.92,Delayed
200394,34824,EK514,1/23/2024 11:21,Business,606.35,On Time
200395,67617,EK597,3/29/2024 5:06,Business,663.76,Cancelled
200396,25231,EK527,1/3/2023 2:17,Business,4479.45,Cancelled
200397,73203,EK477,3/24/2023 11:26,Economy,4905.93,Delayed
200398,51576,EK402,5/7/2023 17:48,Business,3321.44,Cancelled
200399,22696,EK619,8/1/2023 12:22,Business,2107.79,Delayed
200400,38446,EK758,11/13/2023 13:05,Business,4004.81,Cancelled
200401,51211,EK536,2/20/2023 22:30,Economy,3688.62,Cancelled
200402,20779,EK702,7/20/2023 11:34,Business,2789.2,Cancelled
200403,58528,EK808,4/2/2024 6:20,Economy,5733.04,Delayed
200404,46869,EK311,1/8/2024 23:57,Economy,1413.64,Cancelled
200405,10486,EK480,4/30/2024 0:40,Business,5428.18,Cancelled
200406,16232,EK682,2/25/2024 7:51,First,4762.35,On Time
200407,40958,EK951,10/2/2024 12:02,Business,3345.35,On Time
200408,56364,EK652,1/20/2024 1:29,Business,848.3,On Time
